id,name,age,grade
370,Student_370,10,21
440,Student_440,10,51
348,Student_348,10,26
765,Student_765,10,20
946,Student_946,10,14
958,Student_958,10,35
7,Student_7,10,46
961,Student_961,10,9
875,Student_875,10,98
771,Student_771,10,38
11,Student_11,10,5
336,Student_336,10,31
223,Student_223,10,51
124,Student_124,10,27
975,Student_975,10,54
441,Student_441,10,23
335,Student_335,10,9
355,Student_355,10,95
978,Student_978,10,85
333,Student_333,10,34
357,Student_357,10,87
641,Student_641,10,56
558,Student_558,10,42
129,Student_129,10,16
983,Student_983,10,34
423,Student_423,10,94
614,Student_614,10,51
516,Student_516,10,41
723,Student_723,10,93
30,Student_30,10,86
984,Student_984,10,35
425,Student_425,10,100
33,Student_33,10,1
209,Student_209,10,28
795,Student_795,10,73
487,Student_487,10,92
819,Student_819,10,75
38,Student_38,10,23
822,Student_822,10,60
705,Student_705,10,55
635,Student_635,10,87
207,Student_207,10,94
43,Student_43,10,17
206,Student_206,10,37
313,Student_313,10,18
371,Student_371,10,38
312,Student_312,10,25
372,Student_372,10,3
373,Student_373,10,62
165,Student_165,10,80
515,Student_515,10,16
375,Student_375,10,66
564,Student_564,10,99
702,Student_702,10,37
378,Student_378,10,34
996,Student_996,10,81
57,Student_57,10,57
604,Student_604,10,55
59,Student_59,10,97
841,Student_841,10,21
847,Student_847,10,54
301,Student_301,10,19
202,Student_202,10,94
300,Student_300,10,85
851,Student_851,10,40
459,Student_459,10,74
146,Student_146,10,26
292,Student_292,10,3
69,Student_69,10,1
291,Student_291,10,25
629,Student_629,10,14
172,Student_172,10,71
73,Student_73,10,1
857,Student_857,10,38
149,Student_149,10,3
860,Student_860,10,29
191,Student_191,10,97
78,Student_78,10,93
286,Student_286,10,33
434,Student_434,10,84
284,Student_284,10,44
477,Student_477,10,25
879,Student_879,10,55
84,Student_84,10,37
883,Student_883,10,60
884,Student_884,10,34
889,Student_889,10,81
529,Student_529,10,7
673,Student_673,10,5
457,Student_457,10,40
169,Student_169,10,86
899,Student_899,10,63
900,Student_900,10,74
435,Student_435,10,43
401,Student_401,10,38
611,Student_611,10,9
902,Student_902,10,12
600,Student_600,10,83
99,Student_99,10,44
100,Student_100,10,20
101,Student_101,10,90
260,Student_260,10,21
926,Student_926,10,51
665,Student_665,10,22
437,Student_437,10,40
473,Student_473,10,32
408,Student_408,10,96
587,Student_587,10,54
245,Student_245,10,96
110,Student_110,10,60
471,Student_471,10,98
498,Student_498,10,36
410,Student_410,10,35
937,Student_937,10,83
238,Student_238,10,77
450,Student_450,10,48
651,Student_651,10,59
617,Student_617,10,0
340,Student_340,10,77
5,Student_5,11,45
6,Student_6,11,10
751,Student_751,11,43
354,Student_354,11,62
14,Student_14,11,0
15,Student_15,11,100
16,Student_16,11,62
731,Student_731,11,18
22,Student_22,11,4
730,Student_730,11,83
729,Student_729,11,80
727,Student_727,11,83
27,Student_27,11,38
540,Student_540,11,25
722,Student_722,11,38
32,Student_32,11,45
719,Student_719,11,94
41,Student_41,11,61
369,Student_369,11,27
677,Student_677,11,90
50,Student_50,11,3
704,Student_704,11,55
699,Student_699,11,94
58,Student_58,11,52
381,Student_381,11,69
695,Student_695,11,71
67,Student_67,11,29
690,Student_690,11,97
72,Student_72,11,29
388,Student_388,11,42
683,Student_683,11,73
80,Student_80,11,92
671,Student_671,11,5
91,Student_91,11,98
669,Student_669,11,8
668,Student_668,11,85
666,Student_666,11,36
520,Student_520,11,38
112,Student_112,11,88
656,Student_656,11,38
118,Student_118,11,42
645,Student_645,11,23
643,Student_643,11,9
132,Student_132,11,69
133,Student_133,11,27
494,Student_494,11,65
430,Student_430,11,97
431,Student_431,11,69
622,Student_622,11,54
153,Student_153,11,53
621,Student_621,11,99
168,Student_168,11,70
607,Student_607,11,90
605,Student_605,11,53
845,Student_845,11,56
176,Student_176,11,94
603,Student_603,11,3
180,Student_180,11,68
182,Student_182,11,21
601,Student_601,11,34
455,Student_455,11,43
599,Student_599,11,22
460,Student_460,11,77
461,Student_461,11,83
